productId,productName,price,quantity,saleDate,customerId,storeId
P001,Laptop Pro,999.99,2,2024-01-15T10:30:00,C001,S001
P002,Wireless Mouse,29.99,5,2024-01-16T14:20:00,C002,S001
P003,Mechanical Keyboard,89.99,3,2024-01-17T09:15:00,C003,S002
P004,4K Monitor,499.99,1,2024-01-18T11:45:00,C004,S002
P005,Gaming Headset,129.99,4,2024-01-19T16:30:00,C005,S003
P006,External SSD,199.99,2,2024-01-20T13:10:00,C006,S003
P007,Webcam HD,79.99,3,2024-01-21T10:25:00,C007,S004
P008,USB-C Hub,49.99,6,2024-01-22T15:40:00,C008,S004
P009,Bluetooth Speaker,69.99,2,2024-01-23T12:55:00,C009,S005
P010,Smart Watch,249.99,1,2024-01-24T09:30:00,C010,S005
P011,Tablet Pro,399.99,2,2024-01-25T14:20:00,C011,S001
P012,Wireless Earbuds,129.99,3,2024-01-26T11:15:00,C012,S002
P013,Portable Charger,39.99,4,2024-01-27T16:45:00,C013,S003
P014,Desktop PC,1299.99,1,2024-01-28T10:30:00,C014,S004
P015,Graphic Card,599.99,2,2024-01-29T13:20:00,C015,S005
P016,Network Router,89.99,3,2024-01-30T09:15:00,C016,S001
P017,Smart Home Hub,149.99,2,2024-01-31T14:40:00,C017,S002
P018,VR Headset,299.99,1,2024-02-01T11:25:00,C018,S003
P019,Digital Camera,449.99,2,2024-02-02T16:55:00,C019,S004
P020,Printer All-in-One,199.99,3,2024-02-03T10:30:00,C020,S005
P021,Scanner Pro,149.99,2,2024-02-04T13:20:00,C021,S001
P022,External HDD,89.99,4,2024-02-05T09:15:00,C022,S002
P023,Microphone Studio,199.99,2,2024-02-06T14:40:00,C023,S003
P024,LED Monitor,179.99,3,2024-02-07T11:25:00,C024,S004
P025,Gaming Mouse,59.99,5,2024-02-08T16:55:00,C025,S005
P026,Keyboard Wrist Rest,19.99,6,2024-02-09T10:30:00,C026,S001
P027,Mouse Pad Large,14.99,8,2024-02-10T13:20:00,C027,S002
P028,USB Flash Drive,29.99,10,2024-02-11T09:15:00,C028,S003
P029,SD Card 256GB,49.99,4,2024-02-12T14:40:00,C029,S004
P030,Power Bank,39.99,5,2024-02-13T11:25:00,C030,S005
P031,Laptop Stand,29.99,7,2024-02-14T16:55:00,C031,S001
P032,Monitor Arm,79.99,3,2024-02-15T10:30:00,C032,S002
P033,Desk Lamp,24.99,6,2024-02-16T13:20:00,C033,S003
P034,Webcam Stand,14.99,9,2024-02-17T09:15:00,C034,S004
P035,Headphone Stand,19.99,5,2024-02-18T14:40:00,C035,S005
P036,USB-C Cable,12.99,12,2024-02-19T11:25:00,C036,S001
P037,HDMI Cable,9.99,15,2024-02-20T16:55:00,C037,S002
P038,Ethernet Cable,8.99,20,2024-02-21T10:30:00,C038,S003
P039,Surge Protector,19.99,8,2024-02-22T13:20:00,C039,S004
P040,Wireless Charger,29.99,6,2024-02-23T09:15:00,C040,S005
P041,Smart Bulb,14.99,10,2024-02-24T14:40:00,C041,S001
P042,Smart Plug,19.99,8,2024-02-25T11:25:00,C042,S002
P043,Smart Thermostat,99.99,3,2024-02-26T16:55:00,C043,S003
P044,Smart Doorbell,149.99,2,2024-02-27T10:30:00,C044,S004
P045,Smart Lock,129.99,3,2024-02-28T13:20:00,C045,S005
P046,Smart Security Camera,89.99,4,2024-02-29T09:15:00,C046,S001
P047,Smart Smoke Detector,49.99,6,2024-03-01T14:40:00,C047,S002
P048,Smart Water Leak Detector,39.99,5,2024-03-02T11:25:00,C048,S003
P049,Smart Air Quality Monitor,79.99,3,2024-03-03T16:55:00,C049,S004
P050,Smart Scale,29.99,7,2024-03-04T10:30:00,C050,S005 